Project Name,Enbloced,Land Size,Master Plan GFA,Plot Ratio,Postal Code,Property Type,Tenure,Planning Area,District,Age,Number of Units,Average Price,Historical High,Historical Low,Distance to MRT
1919,0,2138.0,234.0,0.11,228175,0,1, Rochor,9,28.0,75.0,1935.0,2233.0,1490.0,0.4559230144387298
1953,0,587.0,1761.0,3.0,217701,0,1, Kallang,8,21.0,58.0,1920.0,2113.0,1706.0,0.5447068636268256
1 KING ALBERT PARK,0,8324.0,13485.0,1.62,598326,1,1, Bukit Timah,21,46.0,11.0,1886.0,2056.0,554.0,0.4029904997087193
1 MOULMEIN RISE,0,2314.0,6480.0,2.8,308143,0,1, Novena,11,40.0,5.0,1967.0,2100.0,682.0,0.3891629382716215
10 EVELYN,0,1112.0,1557.0,1.4,309312,0,1, Novena,11,21.0,56.0,2604.0,2908.0,1913.0,0.5119498614047536
10 SHELFORD,0,2127.0,2978.0,1.4,288353,0,1, Bukit Timah,11,29.0,69.0,1415.0,1912.0,1045.0,0.494198257330143
11 AMBER ROAD,0,1726.0,4832.0,2.8,439857,0,1, Marine Parade,15,39.0,4.0,1812.0,1812.0,478.0,1.582802491582588
111 EMERALD HILL,0,2770.0,8500.0,3.07,229391,0,1, Newton,9,32.0,4.0,2391.0,3030.0,1768.0,0.5339179622478728
120 GRANGE,0,1466.0,3079.0,2.1,249600,0,1, River Valley,10,39.48150357995227,56.0,2796.0,3386.0,2669.0,0.8694045019243763
15 Holland Hill,0,7831.0,13782.0,2.2073144876325084,278735,1,1, Bukit Timah,10,39.48150357995227,57.0,3066.0,3496.0,2700.0,0.5740731590191088
18 SHELFORD,0,2747.0,3846.0,1.4,288407,0,1, Bukit Timah,11,33.0,19.0,1841.0,1916.0,1400.0,0.6266660353432725
18 WOODSVILLE,0,2860.0,5883.0,2.06,357799,0,1, Toa Payoh,13,28.0,11.0,1672.0,1963.0,1191.0,0.222073530328134
183 LONGHAUS,0,1574.0,4722.0,3.0,574429,0,1, Bishan,20,24.0,4.0,1675.0,1793.0,1400.0,0.4781150923151166
19 NASSIM,0,5785.0,9256.0,1.6,258482,0,0, Tanglin,10,39.48150357995227,11.0,3866.0,3906.0,3351.0,1.246684464418444
2 RVG,0,1468.0,4109.0,2.8,238405,0,1, River Valley,9,37.0,6.0,2052.0,2069.0,853.0,0.6671251023934848
21 RICHARDS,0,1427.0,1998.0,1.4,546430,0,1, Hougang,19,30.0,31.0,1299.0,1687.0,971.0,0.4493679220383463
24 ONE RESIDENCES,0,1104.0,1545.0,1.4,118596,0,1, Queenstown,5,24.0,24.0,1791.0,1961.0,1318.0,0.4256778189459423
26 NEWTON,0,3491.0,9781.0,2.8,307957,0,1, Novena,11,27.0,18.0,1965.0,2828.0,1829.0,0.5509068715199593
28 RC SUITES,0,507.0,1773.0,3.5,218746,0,1, Rochor,8,27.0,45.0,1717.0,1722.0,1020.0,0.2974372302524482
28 SHELFORD,0,2560.0,3585.0,1.4,288422,0,1, Bukit Timah,11,49.0,36.0,1870.0,1870.0,574.0,0.6442662671741803
283 STUDIO,0,156.0,437.0,2.8,238324,0,0, River Valley,9,31.0,7.0,1612.0,1728.0,1300.0,0.5131728461156433
3 CUSCADEN,0,2003.0,5608.0,2.8,249690,0,1, River Valley,10,39.48150357995227,96.0,3689.0,4241.0,3278.0,0.3172389235026777
3 ORCHARD BY-THE-PARK,0,5759.0,16125.0,2.8,248653,1,1, Orchard,10,26.0,77.0,3707.0,4805.0,2901.0,0.8407053221950174
336 RIVER VALLEY,0,3136.0,8780.0,2.8,238366,0,1, River Valley,9,59.0,124.71927846674183,2462.0,3586.0,368.0,0.4658084637070385
35 GILSTEAD,0,3528.0,4939.0,1.4,309079,0,1, Novena,11,39.48150357995227,7.0,2500.0,2789.0,2057.0,0.5326485528850563
368 THOMSON,0,5291.0,413.0,0.08,298127,1,1, Novena,11,29.0,157.0,1830.0,1919.0,1275.0,0.7674816587068101
38 I SUITES,0,2179.0,6100.0,2.8,438646,0,1, Geylang,15,29.0,12.0,1704.0,1779.0,883.0,0.7998019740424481
38 JERVOIS,0,1378.0,1930.0,1.4,249078,0,1, Tanglin,10,24.0,27.0,2576.0,2576.0,1789.0,0.8270051998882855
6 DERBYSHIRE,0,4227.0,11836.0,2.8,309462,1,1, Novena,11,26.0,168.0,2134.0,2875.0,1812.0,0.5763796794008221
75BR,0,7463.0,31343.0,2.2073144876325084,189689,0,0, Downtown Core,7,39.48150357995227,124.71927846674183,1542.0,1813.8640350877192,813.2774122807018,0.3842158743843448
76 SHENTON,0,3017.0,16894.0,5.6,79119,1,0, Downtown Core,2,29.0,22.0,1954.0,2559.0,1583.0,0.2764266231585117
8 BASSEIN,0,1566.0,4249.0,2.71,309838,0,1, Novena,11,28.0,74.0,1917.0,2069.0,1067.0,0.5875527056094317
8 EDEN GROVE,0,3202.0,4483.0,1.4,539060,0,1, Serangoon,19,44.0,41.0,1177.0,1181.0,362.0,0.5662150147567618
8 FARRER SUITES,0,993.0,1391.0,1.4,217820,0,1, Kallang,8,28.0,34.0,1536.0,1975.0,1322.0,0.2983367277034616
8 HULLET,0,997.0,2792.0,2.8,229160,0,1, Newton,9,39.48150357995227,44.0,3022.0,3698.0,2926.0,0.3084465254831184
8 NAPIER,0,6781.0,10849.0,1.6,258502,1,1, Tanglin,10,33.0,46.0,3314.0,3925.0,2782.0,1.325589345741766
8 RAJA,0,1576.0,4413.0,2.8,329217,1,1, Novena,12,30.0,26.0,1324.0,1482.0,1145.0,0.7695867402972224
8 RODYK,0,1224.0,3428.0,2.8,238216,0,1, Singapore River,9,32.0,5.0,2178.0,2347.0,1288.0,0.7933719005200582
8 SAINT THOMAS,0,5545.0,15525.0,2.8,238102,1,1, River Valley,9,25.0,25.0,3163.0,3716.0,2420.0,0.5015303941648821
833 M B RESIDENCES,0,467.0,654.0,1.4,437826,0,1, Marine Parade,15,31.0,2.0,1338.0,1542.0,696.0,1.256989410409476
8M RESIDENCES,0,2229.0,2347.0,1.05,438049,0,1, Marine Parade,15,27.0,68.0,1917.0,2226.0,1322.0,1.011117990722581
91 MARSHALL,0,1225.0,1714.0,1.4,424887,0,1, Marine Parade,15,29.0,3.0,1591.0,1712.0,1128.0,1.38542327234534
A TREASURE TROVE,0,27527.0,82999.0,3.02,828779,1,0, Punggol,19,28.0,882.0,1275.0,1419.0,556.0,0.2390540745479741
AALTO,0,9855.0,27594.0,2.8,437980,1,1, Marine Parade,15,33.0,196.0,2222.0,2919.0,1389.0,1.435225443836129
ADAM PARK CONDOMINIUM,0,9966.0,13953.0,1.4,289895,1,1, Bukit Timah,11,39.0,118.0,1722.0,1892.0,514.0,0.6639228554803811
ADAM PLACE,0,2511.0,3515.0,1.4,289880,0,1, Bukit Timah,11,51.0,24.0,1675.0,1675.0,503.0,0.370352594526703
ADRIA,0,4228.0,11862.0,2.81,309466,0,1, Novena,11,30.0,15.0,2039.0,2148.0,1449.0,0.5200267070421004
AFFINITY AT SERANGOON,0,27584.0,77236.0,2.8,554304,0,0, Serangoon,19,39.48150357995227,152.0,1668.0,1842.0,1176.0,1.345042555713963
AFFLUENCE COURT,0,1174.0,21270.96451425247,2.2073144876325084,539960,0,1, Hougang,19,53.0,7.0,961.0,993.0,310.0,0.8931132827664234
AIRSTREAM,0,137.0,385.0,2.8,327994,0,1, Kallang,12,31.0,7.0,1508.0,1687.0,989.0,0.7173099484307184
ALBA,0,3852.0,10787.0,2.8,229743,0,1, Newton,9,28.0,5.0,4098.0,4098.0,2068.0,0.5783722691239878
ALEGRIA,0,870.0,1220.0,1.4,307669,0,1, Novena,11,38.0,12.0,1573.0,1573.0,685.0,0.5308872303691873
ALESSANDREA,0,3652.0,10227.0,2.8,159967,0,1, Bukit Merah,3,40.0,15.0,1612.0,1686.0,488.0,0.650015463193412
ALEX RESIDENCES,0,6501.0,31857.0,4.9,158744,0,0, Bukit Merah,3,26.0,429.0,2008.0,2289.0,1341.0,0.2673859887940279
ALEXIS,0,3359.0,10078.0,3.0,159948,0,1, Queenstown,3,31.0,293.0,1677.0,2084.0,842.0,0.4278228747258598
ALLSWORTH PARK,0,17383.0,36505.0,2.1,278637,1,0, Bukit Timah,10,58.0,17.0,1853.0,2042.0,445.0,0.98188219892387
ALPHA APARTMENTS,0,1663.0,2329.0,1.4,427037,0,1, Marine Parade,15,38.0,22.0,1129.0,1129.0,390.0,0.9147816166676068
ALTEZ,0,3036.0,25504.0,8.4,79717,1,0, Downtown Core,2,29.0,28.0,1994.0,3351.0,1600.0,0.2278678678891532
AMANINDA,0,4860.0,6804.0,1.4,307674,1,1, Novena,11,38.0,7.0,1713.0,1842.0,461.0,0.5410317700615066
AMARANDA GARDENS,0,11183.0,23487.0,2.1,554773,1,1, Serangoon,19,39.0,189.0,1810.0,1810.0,414.0,0.3951700130883197
AMARYLLIS VILLE,0,12332.0,34769.0,2.82,307953,1,0, Novena,11,39.0,311.0,1838.0,2020.0,609.0,0.4664521091011573
AMBER 45,0,6490.0,21270.96451425247,2.2073144876325084,439886,0,1, Marine Parade,15,23.0,139.0,2618.0,2618.0,1967.0,1.553565174880498
AMBER POINT,0,8168.0,22870.0,2.8,439845,1,1, Marine Parade,15,52.0,1.0,1696.0,1696.0,479.0,1.523938492567265
AMBER RESIDENCES,0,5442.0,15237.0,2.8,439888,1,1, Marine Parade,15,32.0,114.0,1889.0,2058.0,970.0,1.567254326345494
AMBER SKYE,0,2117.0,5929.0,2.8,439853,0,1, Marine Parade,15,26.0,19.0,2262.0,2503.0,1532.0,1.432221623574837
AMO RESIDENCE,0,12679.0,31699.0,3.5,569417,0,0, Ang Mo Kio,20,39.48150357995227,372.0,2114.0,2406.0,1890.0,0.5578510225357136
APLETON VIEW,0,1580.0,4423.0,2.8,308323,0,1, Novena,11,40.0,37.0,1744.0,1997.0,647.0,0.2953824977738381
APOLLO GARDENS,0,351.0,21270.96451425247,2.2073144876325084,486992,0,1, Tampines,16,59.0,114.0,1056.0,1117.0,310.0,0.5435720760037903
AQUARINE GARDENS,0,869.0,1400.0,1.61,455225,0,1, Bedok,15,39.0,12.0,1406.0,1406.0,476.0,1.182184516391381
AQUARIUS BY THE PARK,0,40608.0,85276.0,2.1,478926,1,0, Bedok,16,42.0,72.0,1079.0,1208.0,328.0,0.4057484520971964
AQUENE,0,1143.0,1601.0,1.4,426341,0,1, Bedok,15,35.0,22.0,1311.0,1358.0,693.0,0.8496374902073052
ARCHIPELAGO,0,45623.0,63873.0,1.4,479267,1,0, Bedok,16,28.0,577.0,1321.0,1503.0,633.0,0.4299242713487841
ARDMORE II,0,8254.0,23111.0,2.8,259947,1,1, Newton,10,33.0,118.0,3088.0,3599.0,1600.0,0.730460422445679
ARDMORE PARK,0,32063.0,89631.0,2.8,259955,1,1, Newton,10,42.0,33.0,4121.0,4881.0,1057.0,0.7007187808256088
ARDMORE THREE,0,5108.0,14291.0,2.8,259950,1,1, Newton,10,29.0,84.0,3616.0,4335.0,2882.0,0.6399795994954081
ARIVA ON SHAN SERVICED RESIDENCE,0,9256.203754831584,21270.96451425247,2.2073144876325084,328105,0,1, Novena,12,39.48150357995227,124.71927846674183,3943.0,3943.0,3943.0,0.5590987703576332
ARTHUR 118,0,2262.0,4749.0,2.1,439827,0,1, Marine Parade,15,37.0,55.0,1897.0,1903.0,517.0,1.013573011672976
ARTHUR MANSIONS,0,4071.0,8719.0,2.14,439829,1,1, Marine Parade,15,50.0,41.0,1601.0,1601.0,493.0,0.9607978431418177
Artra,0,8399.0,41153.0,4.9,158736,0,0, Bukit Merah,3,23.0,4.0,2130.0,2317.0,1467.0,0.06935135455276047
ASCENTIA SKY,0,8559.0,41939.0,4.9,158748,1,0, Bukit Merah,3,30.0,373.0,1726.0,1985.0,1055.0,0.1550188059993363
ASPEN HEIGHTS,0,31987.0,89564.0,2.8,238307,1,0, River Valley,9,45.0,66.0,2023.0,2243.0,574.0,0.4392815018476399
ASPEN LINQ,0,164.0,459.0,2.8,239669,0,0, River Valley,9,27.0,18.0,1490.0,2220.0,1350.0,0.5535535416669233
ASPEN LOFT,0,1968.0,2755.0,1.4,427317,0,1, Geylang,15,38.0,29.0,1194.0,1239.0,420.0,0.5659430209130634
ASTOR GREEN,0,14926.0,31345.0,2.1,597590,1,0, Bukit Timah,21,48.0,17.0,1332.0,1530.0,325.0,0.7015519090380469
ASTRID MEADOWS,0,54979.0,76970.0,1.4,269257,1,1, Bukit Timah,10,53.0,28.0,2163.0,2295.0,532.0,0.8486586029627813
ASTRIDVILLE,0,4282.0,21270.96451425247,2.2073144876325084,268614,1,1, Bukit Timah,10,58.0,18.0,1573.0,1573.0,506.0,1.080424543426956
ATLASSIA,0,1300.0,3901.0,3.0,427754,0,1, Paya Lebar,15,39.48150357995227,31.0,2084.0,2206.0,1901.0,0.7651070606241971
ATTITUDE AT KIM YAM,0,535.0,1700.0,3.17,239319,0,0, River Valley,9,32.0,33.0,2188.0,2323.0,1151.0,0.5280695060929386
AURA 83,0,1435.0,2009.0,1.4,429247,0,1, Marine Parade,15,28.0,51.0,1622.0,1704.0,980.0,1.035486382743863
AURALIS,0,2670.0,3737.0,1.4,423423,0,1, Bedok,15,30.0,56.0,1535.0,1573.0,1152.0,1.271501161170977
AVA TOWERS,0,5996.0,16790.0,2.8,329949,0,1, Novena,12,50.0,124.0,1330.0,1330.0,285.0,0.9056872373731341
AVALON,0,8168.0,13069.0,1.6,259985,1,1, Tanglin,10,44.0,82.0,2219.0,2338.0,855.0,0.8219767688754127
Avenue South Residence,0,22852.0,84551.0,3.5,168872,0,0, Bukit Merah,3,39.48150357995227,174.0,2335.0,2623.0,1696.0,1.131370972242722
AVILA GARDENS,0,35120.0,49168.0,1.4,509732,1,1, Pasir Ris,17,48.0,347.0,1179.0,2252.0,255.0,1.313784202391853
AVON PARK,0,15023.0,42066.0,2.8,357741,1,1, Toa Payoh,13,52.0,179.0,1420.0,1470.0,271.0,0.1166906962661498
AZALEA PARK CONDOMINIUM,0,31096.0,43535.0,1.4,509725,1,0, Pasir Ris,17,47.0,316.0,1047.0,1149.0,360.0,1.087738923196053
BALCON EAST,0,2586.0,3620.0,1.4,466519,0,1, Bedok,16,32.0,37.0,1437.0,1464.0,611.0,1.45489651563024
BALESTIER 288,0,73.0,220.0,3.0,329731,0,1, Novena,12,39.0,11.0,1069.0,1129.0,383.0,1.037950209595696
BALESTIER PLAZA,0,3799.0,11396.0,3.0,329802,0,1, Novena,12,60.0,77.0,1177.0,1177.0,305.0,0.8323821626339714
BALESTIER POINT,0,6126.0,18378.0,3.0,329727,0,1, Novena,12,57.0,68.0,1081.0,1157.0,278.0,0.9489926168197823
BALLOTA PARK CONDOMINIUM,0,36860.0,51606.0,1.4,507079,1,1, Pasir Ris,17,43.0,365.0,943.0,992.0,324.0,1.572688771164554
BALMORAL 8,0,4435.0,7096.0,1.6,259792,1,1, Newton,10,40.0,4.0,2173.0,2173.0,679.0,0.6872426751005923
BALMORAL CREST,0,1524.0,2439.0,1.6,259882,0,1, Newton,10,41.0,24.0,1904.0,2004.0,927.0,0.5915271546856611
BALMORAL GATE,0,3432.0,7207.0,2.1,259811,1,1, Tanglin,10,49.0,57.0,2049.0,2184.0,601.0,0.6689492454046155
BALMORAL HEIGHTS,0,2378.0,3807.0,1.6,259928,1,1, Newton,10,39.0,44.0,2203.0,3242.0,839.0,0.4722848678909836
BALMORAL HILLS,0,5404.0,8647.0,1.6,259844,1,1, Tanglin,10,35.0,62.0,2332.0,2358.0,929.0,0.4749600294682408
BALMORAL PLAZA,0,4145.0,8703.0,2.1,259708,0,1, Newton,10,49.0,7.0,1303.0,1452.0,467.0,0.5356530738956271
BALMORAL POINT,0,5229.0,10982.0,2.1,259806,0,1, Tanglin,10,69.0,31.0,1754.0,1754.0,541.0,0.7033618872418113
BALMORAL RESIDENCES,0,8579.0,13728.0,1.6,259905,1,1, Newton,10,42.0,65.0,2080.0,2225.0,841.0,0.4662860216603761
BALMORAL TOWER,0,5007.0,10514.0,2.1,259808,1,1, Tanglin,10,60.0,34.0,1602.0,1602.0,499.0,0.682526322334023
BANYAN CONDOMINIUM,0,12630.0,17682.0,1.4,119744,1,1, Queenstown,5,48.0,14.0,1188.0,1252.0,347.0,0.3920064504311828
BARTLEY RESIDENCES,0,22094.0,61865.0,2.8,536558,1,0, Serangoon,19,28.0,72.0,1526.0,1724.0,1001.0,0.1557020414019895
BARTLEY RIDGE,0,20775.0,72712.0,3.5,368055,1,0, Toa Payoh,13,27.0,868.0,1606.0,1843.0,996.0,0.2539115562622146
BARTLEY VUE,0,4667.0,9800.0,2.2073144876325084,538310,0,0, Toa Payoh,19,39.48150357995227,115.0,1955.0,2205.0,1725.0,0.5307432626272374
BASSEIN COURT,0,1779.0,4928.0,2.77,309836,0,1, Novena,11,50.0,28.0,1465.0,1465.0,411.0,0.5554897936480117
BAYOU RESIDENCE,0,1764.0,2477.0,1.4,534957,0,1, Serangoon,19,35.0,29.0,1092.0,1316.0,622.0,0.3932565102667739
BAYSHORE PARK,0,44817.0,125487.0,2.8,469977,1,0, Bedok,16,57.0,183.0,1209.0,1348.0,263.0,1.556471137922572
BAYVILLE CONDOMINIUM,0,4764.0,6669.0,1.4,118166,1,1, Queenstown,5,47.0,63.0,1163.0,1200.0,338.0,0.6790426718258262
BAYWATER,0,9168.0,22917.0,2.5,479240,1,0, Bedok,16,37.0,232.0,1176.0,1289.0,312.0,0.1114181709807978
Baywind Residences,0,9256.203754831584,21270.96451425247,2.2073144876325084,425248,0,1, Bedok,15,39.48150357995227,24.0,2070.0,2155.0,1953.0,1.16343583863524
BEACON HEIGHTS,0,5903.0,7925.0,1.34,328689,1,0, Kallang,12,31.0,212.0,1359.0,1515.0,650.0,0.7777245242925718
BEAUFORT ON NASSIM,0,4213.0,5898.0,1.4,258380,1,1, Tanglin,10,35.0,3.0,2842.0,3600.0,1936.0,0.9777498693263114
BEAUTY WORLD CENTRE,0,12912.0,38735.0,3.0,588177,0,0, Bukit Timah,21,39.48150357995227,8.0,1008.0,1020.0,203.0,0.1503150846800843
BEAUTY WORLD PLAZA,0,2306.0,6917.0,3.0,588176,0,0, Bukit Timah,21,61.0,3.0,1495.0,1495.0,375.0,0.08239708267119537
BEAVERTON COURT,0,7450.0,15646.0,2.1,276958,1,1, Bukit Timah,10,59.0,54.0,1651.0,1651.0,278.0,0.592050516106534
BEDOK COURT,0,34243.0,71930.0,2.1,469296,1,0, Bedok,16,58.0,28.0,934.0,1048.0,145.0,0.578033152451572
BEDOK RESIDENCES,0,24902.0,87158.0,3.5,465494,1,0, Bedok,16,28.0,583.0,1606.0,1758.0,982.0,0.1892739317469735
BEDOK SHOPPING COMPLEX,0,16892.0,23648.0,1.4,469438,0,0, Bedok,16,66.0,33.0,280.0,641.0,107.0,0.5675726515504079
BELLA CASITA,0,1114.0,3119.0,2.8,438610,0,1, Geylang,15,31.0,57.0,1542.0,1620.0,1052.0,0.7230502783971059
BELLA VISTA,0,928.0,1299.0,1.4,358227,0,1, Serangoon,13,34.0,16.0,1356.0,1356.0,656.0,0.5519579412951476
BELLE VUE RESIDENCES,0,23004.0,32205.0,1.4,238590,1,1, River Valley,9,33.0,176.0,2029.0,3185.0,1199.0,0.4753421173790059
BELMOND GREEN,0,15220.0,24320.0,1.6,259799,1,1, Tanglin,10,39.0,211.0,2297.0,2406.0,690.0,0.7287047153407913
BELMONDO VIEW,0,1088.0,3045.0,2.8,328369,0,1, Novena,12,41.0,22.0,1620.0,1620.0,439.0,0.8794026745303001
BENG TONG MANSION,0,138.0,415.0,3.0,437029,1,1, Marine Parade,15,39.48150357995227,124.71927846674183,2014.0,2153.0,643.0,0.7209353266913043
BERKELEY RESIDENCES,0,1126.0,1576.0,1.4,425141,0,1, Bedok,15,28.0,22.0,1529.0,1636.0,1100.0,1.312257296882017
BEVERLY HILL,0,13832.0,29044.0,2.1,249570,1,1, Tanglin,10,60.0,88.0,2367.0,2462.0,556.0,0.9599216190264218
BIJOU,0,3680.0,5147.0,1.4,119554,0,1, Queenstown,5,25.0,12.0,2110.0,2538.0,1709.0,0.08347204092683039
BINJAI PARK,0,1756.0,21270.96451425247,2.2073144876325084,588627,1,0, Bukit Timah,21,39.48150357995227,124.71927846674183,1592.0,1616.0,552.0,0.8409349743702914
BIRCHWOOD MANSIONS,0,2809.0,7866.0,2.8,329504,0,1, Novena,12,53.0,24.0,1231.0,1231.0,393.0,0.8305060008524646
BIRMINGHAM MANSIONS,0,2817.0,7877.0,2.8,307682,0,1, Novena,11,45.0,65.0,1802.0,1830.0,535.0,0.3243344441031585
BISHAN 8,0,13603.0,21765.0,1.6,574044,1,0, Bishan,20,43.0,2.0,1422.0,1555.0,458.0,0.2443172627499392
BISHAN PARK CONDOMINIUM,0,25065.0,52628.0,2.1,575567,1,0, Bishan,20,49.0,32.0,1157.0,1250.0,267.0,0.3492213721914174
BISHAN POINT,0,6800.0,19041.0,2.8,579653,1,0, Bishan,20,38.0,164.0,1290.0,1400.0,392.0,0.4066243035968238
BISHOPSGATE RESIDENCES,0,6937.0,9000.0,1.3,247676,1,1, Tanglin,10,31.0,31.0,3840.0,3913.0,3174.0,1.057103116864493
BLISS LOFT,0,1033.0,2865.0,2.77,328933,0,1, Novena,12,31.0,48.0,1231.0,1584.0,786.0,1.058451849879566
BLISS REGALIA,0,447.0,626.0,1.4,217920,0,1, Kallang,8,34.0,8.0,1005.0,1378.0,688.0,0.4284280376641074
BLU CORAL,0,4863.0,6994.0,1.44,425562,1,1, Bedok,15,34.0,79.0,1171.0,1439.0,520.0,0.9422412697137414
BLUE HORIZON,0,24894.0,69703.0,2.8,128045,1,0, Clementi,5,38.0,616.0,1253.0,1394.0,416.0,2.001955090576062
BLUWATERS,0,2672.0,3741.0,1.4,506961,0,0, Pasir Ris,17,36.0,45.0,1034.0,1269.0,322.0,1.720772616490509
BLUWATERS 2,0,4496.0,6295.0,1.4,509456,1,0, Pasir Ris,17,33.0,71.0,1015.0,1120.0,571.0,1.806416185285734
BOAT QUAY CONSERVATION AREA,0,9256.203754831584,21270.96451425247,2.2073144876325084,48818,0,0, Singapore River,1,39.48150357995227,124.71927846674183,5695.0,5695.0,5695.0,0.668600358221676
BOATHOUSE RESIDENCES,0,13000.0,45501.0,3.5,534042,1,0, Hougang,19,28.0,493.0,1207.0,1289.0,703.0,0.9426749686969281
BOON COURT,0,2091.0,2928.0,1.4,423992,0,1, Geylang,15,67.0,12.0,856.0,922.0,236.0,0.5477336823567492
BOON TECK APARTMENTS,0,1334.0,3736.0,2.8,329609,0,1, Novena,12,53.0,24.0,1220.0,1220.0,384.0,0.6989995859987188
BOON TECK TOWER,0,5426.0,15193.0,2.8,329608,1,1, Novena,12,59.0,124.71927846674183,1207.0,1207.0,311.0,0.6299430333895242
BOONVIEW,0,10186.0,21717.0,2.13,574036,1,1, Bishan,20,40.0,12.0,1654.0,1654.0,510.0,0.4053284620763052
BOTANIC GARDENS MANSION,0,9477.0,13268.0,1.4,257718,0,1, Tanglin,10,39.48150357995227,112.0,2048.0,2166.0,416.0,1.517518513395527
BOTANIC GARDENS VIEW,0,13902.0,19467.0,1.4,257717,0,1, Tanglin,10,39.48150357995227,144.0,2186.0,2521.0,475.0,1.491422208170733
BOTANIKA,0,3984.0,5577.0,1.4,258853,0,1, Tanglin,10,35.0,34.0,2237.0,2498.0,1310.0,0.8547809379503869
BOTANIQUE AT BARTLEY,0,20078.0,56217.0,2.8,533866,1,0, Serangoon,19,24.0,797.0,1696.0,1828.0,1049.0,0.312460733129051
BOTANNIA,0,37717.0,60347.0,1.6,127647,1,0, Clementi,5,34.0,493.0,1442.0,1609.0,488.0,1.352583180278321
BOULEVARD 88,0,10275.0,43154.0,4.2,248655,1,1, Orchard,10,39.48150357995227,154.0,4085.0,5125.0,3296.0,0.5242172493288928
BOULEVARD VUE,0,4156.0,11636.0,2.8,249697,1,1, River Valley,10,30.0,28.0,3504.0,4913.0,2664.0,0.3710572898748768
BOWMONT CENTRE,0,1472.0,1300.0,0.88,456192,0,1, Bedok,15,40.0,8.0,1215.0,1269.0,381.0,0.9208976542106884
BRADDELL VIEW,0,57435.0,120613.0,2.1,579719,0,0, Toa Payoh,20,62.0,918.0,979.0,1102.0,220.0,0.518005449523122
BREEZE BY THE EAST,0,8976.0,12566.0,1.4,465520,1,1, Bedok,16,32.0,88.0,1515.0,1577.0,668.0,1.393388465839084
BREEZY MANSIONS,0,1021.0,1430.0,1.4,546079,0,0, Hougang,19,41.0,14.0,949.0,1067.0,516.0,0.8165872175204618
BUCKLEY 18,0,4310.0,6034.0,1.4,309776,0,1, Novena,11,34.0,49.0,1731.0,1953.0,1126.0,0.3888365979939826
BUCKLEY CLASSIQUE,0,6672.0,5613.0,0.84,309765,1,1, Novena,11,29.0,64.0,1991.0,2300.0,1562.0,0.508812430319957
BUCKLEY RESIDENCE,0,763.0,1068.0,1.4,309762,0,1, Novena,11,36.0,13.0,2017.0,2017.0,894.0,0.5136333497733273
BUKIT 828,0,184.0,459.0,2.5,678155,0,1, Bukit Panjang,23,39.48150357995227,34.0,1416.0,1773.0,1416.0,0.4531744937364657
BUKIT REGENCY,0,24724.0,34581.0,1.4,588132,1,1, Bukit Timah,21,48.0,224.0,1470.0,1548.0,412.0,0.8460399514910537
BULLION PARK,0,47861.0,76577.0,1.6,789094,1,1, Ang Mo Kio,26,51.0,472.0,1374.0,1610.0,318.0,0.6340950940017269
BUONA LODGE,0,4429.0,6257.0,1.41,117686,1,1, Queenstown,5,51.0,29.0,1162.0,1162.0,320.0,0.5543478481867736
BUONA VISTA GARDENS,0,8263.0,11385.0,1.38,117687,1,1, Queenstown,5,54.0,48.0,1302.0,1302.0,325.0,0.5669506180212399
BURLINGTON SQUARE,0,6129.0,25742.0,4.2,189649,0,0, Rochor,7,45.0,179.0,1280.0,1548.0,313.0,0.188611412416367
BUTTERWORTH 33,0,985.0,2757.0,2.8,439442,0,1, Geylang,15,37.0,2.0,1123.0,1134.0,465.0,0.6582744114423272
BUTTERWORTH 8,0,9790.0,27412.0,2.8,439421,1,1, Geylang,15,39.0,216.0,1741.0,1812.0,556.0,0.7269973119638016
BUTTERWORTH VIEW,0,2213.0,6195.0,2.8,439431,0,1, Geylang,15,44.0,49.0,1480.0,1483.0,477.0,0.6482355422116107
CADENCE LIGHT,0,813.0,1169.0,1.44,423833,0,1, Bedok,15,36.0,16.0,1149.0,1253.0,540.0,0.9786853874443374
CAIRNHILL 16,0,1432.0,3990.0,2.8,229744,0,1, NEWTON,9,39.48150357995227,39.0,2709.0,2819.0,2587.0,0.4236319057437089
CAIRNHILL ASTORIA,0,3587.0,10045.0,2.8,229741,0,1, Newton,9,60.0,36.0,1879.0,1913.0,384.0,0.6294918534353728
CAIRNHILL CREST,0,14511.0,40623.0,2.8,229811,1,1, Newton,9,39.0,248.0,2228.0,2802.0,1032.0,0.6004157731259137
CAIRNHILL NINE,0,9256.203754831584,21270.96451425247,2.2073144876325084,229723,0,0, Orchard,9,27.0,268.0,2533.0,2915.0,1726.0,0.4020032580796424
CAIRNHILL PLAZA,0,12882.0,36069.0,2.8,229664,1,1, Newton,9,65.0,24.0,1897.0,2026.0,303.0,0.5813840276984095
CAIRNHILL RESIDENCES,0,3877.0,10854.0,2.8,229774,0,1, Orchard,9,34.0,97.0,2455.0,2569.0,1195.0,0.5243357087735108
CALARASI,0,3877.0,10855.0,2.8,328882,0,1, Novena,12,39.0,99.0,1141.0,1159.0,376.0,0.9485059658398625
CALLIDORA VILLE,0,2020.0,2828.0,1.4,425145,0,1, Bedok,15,34.0,34.0,1350.0,1355.0,705.0,1.308754607782418
CAMBIO SUITES,0,2479.0,3471.0,1.4,547791,0,1, Serangoon,19,27.0,53.0,1562.0,1710.0,946.0,0.6907348219475626
